Source,Folio,Locus,Raw_Text,Clean_Text
ZL3b-n,f78v,"f78v.23,+P0","qol.chedy.okeshy.qoteedy.okeedy.ol,shedy.qokedy,dy",qol chedy okeshy qoteedy okeedy ol shedy qokedy dy
ZL3b-n,f78v,"f78v.24,+P0",ytaiin.shedy.ol.sheedy.olshdy.shey.kshdy.shol.kedy,ytaiin shedy ol sheedy olshdy shey kshdy shol kedy
ZL3b-n,f78v,"f78v.25,+P0",teeol.olkeshey.qolcheol.ol.or.sheckhedy<-><!next line intruding>or.ol.sham,teeol olkeshey qolcheol ol or sheckhedyor ol sham
ZL3b-n,f78v,"f78v.26,+P0",qokaiin.or.sheedy.otain.ol.shedy.sol.fchedy.otaldy,qokaiin or sheedy otain ol shedy sol fchedy otaldy
ZL3b-n,f78v,"f78v.27,+P0",lol.kar.shr.r.ol.ols.sheey.ol.chedy.oltar.olkaiin,lol kar shr r ol ols sheey ol chedy oltar olkaiin
ZL3b-n,f78v,"f78v.28,+P0","olkain.shey.qokey.okar.ol.oteedy.chcthy.los.aiin,d",olkain shey qokey okar ol oteedy chcthy los aiin d
ZL3b-n,f78v,"f78v.29,+P0",lchedy.otchey.qol.chedy.lr.al.s.aiiin.ol.shedy.ary,lchedy otchey qol chedy lr al s aiiin ol shedy ary
ZL3b-n,f78v,"f78v.30,+P0",sal.shol.sain.sheety.or.oiiin.okal.oltal.qokar.ary,sal shol sain sheety or oiiin okal oltal qokar ary
ZL3b-n,f78v,"f78v.31,+P0","sor,ar,or.dchor.otaiin.otain.ytedy.olshdy.sholkal",sor ar or dchor otaiin otain ytedy olshdy sholkal
ZL3b-n,f78v,"f78v.32,+P0",lol.cheor.sheol.dy.qokar.otalor<$>,lol cheor sheol dy qokar otalor
ZL3b-n,f79r,"f79r.1,@P0","<%>torain.shedy,pchor.or.shek.otarpchdy.opcholor.otal.shedy",torain shedy pchor or shek otarpchdy opcholor otal shedy
ZL3b-n,f79r,"f79r.2,+P0","qoteedy.lshdy.otchedy.olshey.olshee.qol,sheey.qoteey.loly",qoteedy lshdy otchedy olshey olshee qol sheey qoteey loly
ZL3b-n,f79r,"f79r.3,+P0","yshealdy.rshedy.qoteedy.chckhey.qo,y.chey.lchey.qokeey.rchedy",yshealdy rshedy qoteedy chckhey qo y chey lchey qokeey rchedy
ZL3b-n,f79r,"f79r.4,+P0","teey.dar.qotar,sheds.sheekeey.qokeey.okey.qolshy.olchey.qoky.ol",teey dar qotar sheds sheekeey qokeey okey qolshy olchey qoky ol
ZL3b-n,f79r,"f79r.5,+P0","qokal.shedy.chcthy.or,chear.salchey.qol.shal.chey,l,cheol.chol,chy",qokal shedy chcthy or chear salchey qol shal chey l cheol chol chy
ZL3b-n,f79r,"f79r.6,+P0","shol.okar.ol,olkeey.qokey.sain.olcheey.qol.chey<$>",shol okar ol olkeey qokey sain olcheey qol chey
ZL3b-n,f79r,"f79r.7,+P0",<%>polchedy.qokar.shey.qokl.ol.cheey.qokain.chey.qoty.qokar,polchedy qokar shey qokl ol cheey qokain chey qoty qokar
ZL3b-n,f79r,"f79r.8,+P0",qokol.cheedy.qokal.shed.ykchedy.chcthy.yoky.qokal.cholo,qokol cheedy qokal shed ykchedy chcthy yoky qokal cholo
ZL3b-n,f79r,"f79r.9,+P0",saiin.shedy.psheedy.qokar.sheol.qolchey.qoty.qokal.qokam,saiin shedy psheedy qokar sheol qolchey qoty qokal qokam
ZL3b-n,f79r,"f79r.10,+P0",qokshedy.qokain.cheor.okol.sheeol.qote{cr}y.choty.otechys,qokshedy qokain cheor okol sheeol qotecry choty otechys
ZL3b-n,f79r,"f79r.11,+P0",sho{ikh}y.chedy.tshey.dshdy.otch[a:?]r.shek.chcthy.otal.ory,shoikhy chedy tshey dshdy otchar shek chcthy otal ory
